old_id,new_id,catalog_number,title,matched_fields,matched_count,mismatched_fields
1395317,XjmXwBCM,GY.23.05,Two of us,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395318,fFVfi919,GY.23.04,Pond near the cafe,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395319,2sr25dqB,GY.23.03,Dear Magritte,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395320,lO4lOStC,GY.23.02,Ordinary Afternoon,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395321,R47RKtuy,GY.23.01,Sepia Moment,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395322,bQAbAJCp,GY.22.24,Muhly,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395323,FhdF61pd,GY.22.23,Daldal Fleur,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395324,6rX6WcOu,GY.22.22,Alone,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395327,zBbzjvZF,GY.22.21,Blue,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395330,Nu9N1UWI,GY.22.20,Reading in the forest,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395335,oZ2oBFMg,GY.22.19,Way to Studio,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395340,h5Ehq2y6,GY.22.17,Watering,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395346,4a34XKuU,GY.22.18,Flower Land,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395350,O9aOWevf,GY.22.16,Nextdoor,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395353,KpiKj77D,GY.22.15,Another Bench,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395354,R47RXtuy,GY.22.14,Sun and Moon,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395355,pHLpl39S,GY.22.13,After the Rain,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395356,g7ugJDjV,GY.22.12,Rose House,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395357,mlRmzQqm,GY.22.11,Text You,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395358,g7ugyDjV,GY.22.10,Text Me,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395359,Wm0WhbU8,GY.22.09,Your Window,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395360,UfnUQOJL,GY.22.08,No Where,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395362,ryjrZTQk,GY.22.07,Outro,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395363,xXWxVzQg,GY.22.06,Neon,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395364,TYMTdXSu,GY.22.05,Christmas in California,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395372,EwYE5rGK,GY.22.04,Sunset in California,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395379,XjQWyBCM,GY.22.03,Your Time,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395380,fFGno919,GY.22.02,Solano Studio,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395381,2sT6sdqB,GY.22.01,Point Reyes,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395382,lOKReStC,GY.21.17,Way Home,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395383,R4Cg7tuy,GY.21.16,Lemon Curtain,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395384,bQkwkJCp,GY.21.15,Ready,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395385,Fh6Vc1pd,GY.21.14,Stack,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
1395386,6rBxbcOu,GY.21.13,Yellow Night,"catalog_number,title,year,medium,dimensions,price,price_currency,status,type,primary_image_url",10,
