id,first_name,last_name,display_name,country,bio,birth_year,death_year,life_dates
45521,Guimi,You,Guimi You,,,,,
45522,Astra Huimeng,Wang,Astra Huimeng Wang,,,,,
45523,Shana,Hoehn,Shana Hoehn,,,,,
45524,Yesiyu,Zhao,Yesiyu Zhao,,,,,
45526,Jacopo,Pagin,Jacopo Pagin,,,,,
45527,Yoab,Vera,Yoab Vera,,,,,
45570,Xin,Liu,Xin Liu,,,,,
45571,Errol,Sawyer,Errol Sawyer,,,,,
45572,Taylor,Ervin,Taylor Ervin,,,,,
45573,Rema,Ghuloum,Rema Ghuloum,,,,,
45574,Joeun Kim,Aatchim,Joeun Kim Aatchim,,,,,
45575,Michelle,Blade,Michelle Blade,,,,,
45576,Andrew,Sendor,Andrew Sendor,,,,,
45577,David,Abbott,David Abbott,,,,,
45578,Peter,Shear,Peter Shear,,,,,
45579,Bix,Archer,Bix Archer,,,,,
45580,Yimiao,Liu,Yimiao Liu,,,,,
45581,Ranee,Henderson,Ranee Henderson,,,,,
45582,Kira Maria,Shewfelt,Kira Maria Shewfelt,,,,,
45583,Alex,McAdoo,Alex McAdoo,,,,,
45584,Nikholis,Planck,Nikholis Planck,,,,,
45585,Yuri,Yuan,Yuri Yuan,,,,,
45586,Catalina,Ouyang,Catalina Ouyang,,,,,
45587,Roksana,Pirouzmand,Roksana Pirouzmand,,,,,
45588,Joseph,Cornell,Joseph Cornell,,,,,
46049,Julia,Maiuri,Julia Maiuri,,,,,
46188,Mak Ying Tung,2,Mak Ying Tung 2,,,,,
46189,Lita,Albuquerque,Lita Albuquerque,,,,,
46190, ASMA,"",ASMA,,,,,
46191,Mimi,Bai,Mimi Bai,,,,,
46193,Jessica Taylor,Bellamy,Jessica Taylor Bellamy,,,,,
46194,Sula,Bermúdez-Silverman,Sula Bermúdez-Silverman,,,,,
46195,Jobi,Bicos,Jobi Bicos,,,,,
46196,Han,Bing,Han Bing,,,,,
46197,Ross,Bleckner,Ross Bleckner,,,,,
46198,Louise,Bourgeois,Louise Bourgeois,,,,,
46199,Miranda,Byk,Miranda Byk,,,,,
