id,catalog_number,title,year,medium,dimensions,edition,price,price_currency,status,type,primary_image_url
1395317,GY.23.05,Two of us,2023,Oil on linen,60 x 48 in,,32000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpd1bg/ab20025f5514933f725d9af0071d7471.jpg
1395318,GY.23.04,Pond near the cafe,2023,Oil on linen,25 5/8 x 20 7/8 in,,15000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpd1wu/4c3757283098a3ffe1588a6f59f75fa2.jpg
1395319,GY.23.03,Dear Magritte,2023,Oil on linen,60 x 48 in,,32000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpd2ux/f7d93ba299d34219d093265402cb1977.jpg
1395320,GY.23.02,Ordinary Afternoon,2023,Oil on linen,25 5/8 x 20 7/8 in,,15000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpd3b6/a06da52f63a3756e1889ee4cb741de54.jpg
1395321,GY.23.01,Sepia Moment,2023,Oil on linen,20 7/8 x 17 7/8 in,,15000,USD,nfs,inventory,https://www.inventory.gallery/2741/lt0jcavu/sepiaediteds.jpg
1395322,GY.22.24,Muhly,2022,Oil on linen,20 7/8 x 25 5/8 in,,15000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpd4ra/ac6ede42eec5c8df202a56eeffe1433ej.jpg
1395323,GY.22.23,Daldal Fleur,2022,Oil on linen,48 x 42 in,,26000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpd66n/36b7bf36dac09a5d1e7037e0bb828f43j.jpg
1395324,GY.22.22,Alone,2022,oil on linen,"53 x 45&frac12; cm, 20 7/8 x 17 7/8in",,10000,USD,sold,inventory,https://www.inventory.gallery/2741/ldz4jen4/f1f269f4566f9b51e20398ce2bbdbf3bj.jpg
1395327,GY.22.21,Blue,2022,oil on linen,20 7/8 x 17 7/8 inches,,10000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpdfpz/769d43ed2861af4e43914d61f2b57d04j.jpg
1395330,GY.22.20,Reading in the forest,2022,Oil on linen,46 x 36 in,,24000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpdk6n/3bdb28edf0fc8f655fb38c8a4640dbb9j.jpg
1395335,GY.22.19,Way to Studio,2022,oil on linen,72 x 60 in,,38000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpdsxl/0974858c12d93ef82e13191ad445baa5j.jpg
1395340,GY.22.17,Watering,2022,oil on linen,72 x 60 in,,38000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpe4d0/e9785a477ee17455407e974be8ef0eb8j.jpg
1395346,GY.22.18,Flower Land,2022,oil on linen,89&frac12; x 71.6 in,,46800,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpelay/56afe1c5002335b0fa6bc65f7f10680ej.jpg
1395350,GY.22.16,Nextdoor,2022,Oil on linen,25 5/8 x 20 7/8 in,,13700,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpeqjt/f04d944211f1cb64d08d4466eeb47b4ej.jpg
1395353,GY.22.15,Another Bench,2022,Oil on linen,19 5/8 x 23 7/8 in,,10000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpetw1/163807ef2486bba64ebc90e7fb0c3e29j.jpg
1395354,GY.22.14,Sun and Moon,2022,Oil on linen,23 7/8 x 19 3/4 in,,12000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpew7u/cebf4c515e89539c1d1498ef65920e3fj.jpg
1395355,GY.22.13,After the Rain,2022,Oil on linen,51 1/4 x 38 1/4 in,,25000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpexba/c7eaf8ef0ef5a199f16d54459440df5dj.jpg
1395356,GY.22.12,Rose House,2022,Oil on linen,51 1/4 x 38 1/4 in,,25000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpeynj/dffda72f58a47c4857cdf881712b298ej.jpg
1395357,GY.22.11,Text You,2022,Oil on linen,20 7/8 x 17 7/8 in,,10000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpezxx/ea5fe053c477e10d3c4adfc91b6c7f79j.jpg
1395358,GY.22.10,Text Me,2022,Oil on linen,46 x 35 7/8 in,,20000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpf1au/6e507a5d1690bf729b32f26f5efd4940j.jpg
1395359,GY.22.09,Your Window,2022,Oil on linen,16 1/8 x 12 1/2 in,,5000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpf2pe/d270c8290c2f5765f64dad69e0104ba7j.jpg
1395360,GY.22.08,No Where,2022,Oil on linen,20 7/8 x 17 7/8 in,,6500,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpf4ol/8446fc25ae6721bcab0b70393606bacdj.jpg
1395362,GY.22.07,Outro,2022,Oil on linen,20 7/8 x 17 7/8 in,,6500,USD,nfs,inventory,https://www.inventory.gallery/2741/ldxpf6ai/7a791d4a84131ffceb4c4425a3e8e7c6j.jpg
1395363,GY.22.06,Neon,2022,oil on linen,20 7/8 x 17 7/8 in,,6500,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpf7pg/db95eb3aabacf553376ad5a2c6e1cad8j.jpg
1395364,GY.22.05,Christmas in California,2022,Oil on linen,80 x 66 in,,45000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpf90d/db3ab39baa7413230b977dfab7951c8aj.jpg
1395372,GY.22.04,Sunset in California,2022,Oil on linen,80 x 66 in.,,42000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpfmu1/483bbc7115aa95a32022bba51cf249a3j.jpg
1395379,GY.22.03,Your Time,2021,Oil on linen,40 x 36 inches,,16000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpfyf1/dd145b8b373de1b3983195c910533597.jpg
1395380,GY.22.02,Solano Studio,2021,Oil on linen,40 x 36 inches,,16000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpfzt3/8f2390e3ae572b06348d23db6b94e8d6.jpg
1395381,GY.22.01,Point Reyes,2021,Oil on linen,30 x 24 inches,,10000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpg0na/7492cbfcb7e75068c092af443d945795.jpg
1395382,GY.21.17,Way Home,2021,Oil on linen,42 x 48 in,,18000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpg1kt/92fa5d695979d5cbd5fad946cc1a0949.jpg
1395383,GY.21.16,Lemon Curtain,2021,Oil on linen,48 x 42 in,,16200,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpg2hr/0d117190281a35b6e5f4d8c528feef36.jpg
1395384,GY.21.15,Ready,2021,Oil on linen,40 x 36 in,,14000,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpg3jc/a8c3d113a2ea22aa696b307eb865bc4a.jpg
1395385,GY.21.14,Stack,2021,Oil on canvas,16 x 20 in,,5500,USD,sold,inventory,https://www.inventory.gallery/2741/ldxpg4ib/e40774949b6fafc1881bbbf501a898b3.jpg
